id,title,slug,promise,short_description,full_description,type,metier,niveau,plan_required,duration_minutes,tags,instructions,content_inline,file_path,file_name,file_mime_type,file_size,module_parent_id,kit_id,version,status,created_at,updated_at,published_at
0305a97a-d4f2-4f28-9202-4fb991ab254b,Évaluer mon prompt avant de l’envoyer,valuer-mon-prompt-avant-de-l-envoyer,Augmentez immédiatement la qualité de vos réponses IA grâce à une auto-évaluation rapide de vos prompts.,Une checklist en 8 critères pour vérifier qu’un prompt contient tous les éléments nécessaires.,"Cette grille permet d’analyser la qualité d’un prompt avant son envoi à l’IA. Elle aide à vérifier la clarté de l’objectif, le contexte, le format, le ton ou encore les contraintes fournies. L’utilisateur peut ainsi corriger les faiblesses de son prompt et obtenir des résultats plus pertinents dès la première génération.",checklist,transversal,fondation,essential,2,"[""Prompting"",""Checklist"",""Efficacité""]",,PDF,0305a97a-d4f2-4f28-9202-4fb991ab254b/20260602092228_08-cl-evaluer-mon-prompt.pdf,08_CL_Evaluer_Mon_Prompt.pdf,application/pdf,1991288,,,1,published,2026-06-02 09:22:05.329065+00,2026-06-02 20:43:26.021725+00,2026-06-02 20:43:26.021725+00
0c4a7b8b-93eb-4e32-b8fd-3f090b5048d2,Communiquer dans les situations délicates,communiquer-dans-les-situations-d-licates-1,"Gérez les messages sensibles avec professionnalisme, même dans les situations les plus délicates.","Un ensemble de prompts pour rédiger des relances, refus, recadrages ou réponses à des messages difficiles.","Cette ressource aide les professionnels à utiliser l’IA pour gérer des communications complexes avec davantage de recul et de maîtrise. Les modèles proposés couvrent les principales situations délicates rencontrées en entreprise. Chaque prompt est conçu pour préserver la relation tout en transmettant un message clair, ferme et professionnel.",prompt_pack,transversal,fondation,essential,5,"[""Communication"",""Management"",""Relationnel""]",,PDF,0c4a7b8b-93eb-4e32-b8fd-3f090b5048d2/20260602091116_04-pp-communications-difficiles.pdf,04_PP_Communications_Difficiles.pdf,application/pdf,1994740,,,1,published,2026-06-02 09:10:53.592053+00,2026-06-02 20:42:07.639875+00,2026-06-02 20:42:07.639875+00
1c094885-2705-4d0c-88af-6b3f51457d86,Ma journée pilotée par l’IA — le système complet,ma-journ-e-pilot-e-par-l-ia-le-syst-me-complet,Intégrez l’IA à chaque étape de votre journée pour gagner jusqu’à 90 minutes par jour.,"Workflow complet permettant d’utiliser l’IA comme copilote quotidien pour planifier, arbitrer et clôturer sa journée.","Ce workflow présente une méthode avancée d’intégration de l’IA dans les routines professionnelles quotidiennes. L’utilisateur découvre comment utiliser l’IA pour prioriser ses tâches le matin, réajuster ses priorités à mi-journée et préparer efficacement la journée suivante. L’objectif est de réduire la fatigue décisionnelle tout en améliorant la qualité du travail réalisé.",workflow,transversal,fondation,essential,30,"[""Productivité"",""Organisation"",""Copilote IA""]",,PDF,1c094885-2705-4d0c-88af-6b3f51457d86/20260602130200_21-wf-journee-pilotee-ia.pdf,21_WF_Journee_Pilotee_IA.pdf,application/pdf,1992365,,,1,published,2026-06-02 13:01:39.527749+00,2026-06-02 20:41:21.998611+00,2026-06-02 20:41:21.998611+00
248457c6-5536-4aab-96b5-f7bda7648576,Spec fonctionnelle IA pour équipe,spec-fonctionnelle-ia-pour-quipe,Capitalisez les bonnes pratiques IA de votre équipe et facilitez leur transmission.,Template de documentation destiné à formaliser un usage IA réutilisable par toute une équipe.,"Cette ressource permet de documenter de manière structurée un processus IA afin qu’il puisse être reproduit par d’autres collaborateurs. Elle couvre les objectifs, les prompts utilisés, les exemples, les règles d’usage et les indicateurs de performance. Un outil clé pour standardiser et pérenniser les pratiques IA en entreprise.",template,transversal,fondation,practitioner,30,"[""Documentation"",""Standardisation"",""Processus""]",,PDF,248457c6-5536-4aab-96b5-f7bda7648576/20260602132537_25-tpl-spec-fonctionnelle-ia-equipe.pdf,25_TPL_Spec_Fonctionnelle_IA_Equipe.pdf,application/pdf,1992895,,,1,published,2026-06-02 13:25:16.196875+00,2026-06-02 20:49:05.201473+00,2026-06-02 20:49:05.201473+00
27cb973b-0490-4e60-bfda-db04983f0024,Construire un pipeline IA multi-étapes,construire-un-pipeline-ia-multi-tapes,Transformez un brief imprécis en livrable professionnel grâce à une méthode de prompting avancée.,Workflow permettant de chaîner plusieurs prompts pour améliorer significativement la qualité des résultats IA.,"Ce workflow présente une méthode avancée consistant à décomposer une tâche complexe en plusieurs étapes de prompting. L’utilisateur apprend à structurer un projet, produire le contenu section par section puis solliciter l’IA pour une relecture critique avant validation finale. Cette approche permet d’obtenir des livrables plus fiables, mieux structurés et plus adaptés aux attentes professionnelles.",workflow,transversal,fondation,essential,15,"[""Pipeline IA"",""Prompting avancé"",""Productivité""]",,PDF,27cb973b-0490-4e60-bfda-db04983f0024/20260602094752_11-wf-pipeline-ia-multi-etapes.pdf,11_WF_Pipeline_IA_Multi_Etapes.pdf,application/pdf,1992623,,,1,published,2026-06-02 09:47:27.97966+00,2026-06-02 20:44:05.724308+00,2026-06-02 20:44:05.724308+00
33bb2b12-d2d5-41ff-98fe-c70d93164a3c,Fiche prospect enrichie par l’IA,fiche-prospect-enrichie-par-l-ia,Préparez chaque rendez-vous commercial avec une vision complète et structurée de votre prospect.,Template permettant de centraliser les informations clés d’un prospect avant un appel ou une réunion.,"Cette fiche aide les commerciaux à regrouper les informations essentielles sur une entreprise, un contact et ses enjeux potentiels. Grâce aux prompts intégrés, l’IA enrichit automatiquement le contexte, identifie des opportunités commerciales et facilite la préparation des questions de découverte. Un support idéal pour professionnaliser les premiers échanges.",template,commercial,fondation,essential,10,"[""Prospection"",""Qualification"",""Préparation""]",,PDF,33bb2b12-d2d5-41ff-98fe-c70d93164a3c/20260602202857_33-tpl-fiche-prospect-ia.pdf,33_TPL_Fiche_Prospect_IA.pdf,application/pdf,1992951,,,1,draft,2026-06-02 20:28:36.348129+00,2026-06-02 20:28:59.473107+00,
34b4574e-0667-42cf-b87b-ea504813812c,Prompts Chain-of-Thought — Forcer l’IA à raisonner,prompts-chain-of-thought-forcer-l-ia-raisonner,Obtenez des réponses plus fiables et approfondies grâce au raisonnement guidé de l’IA.,Pack de prompts permettant d’exploiter les techniques de raisonnement étape par étape.,"Cette ressource présente plusieurs modèles de prompts basés sur le Chain-of-Thought, une approche permettant d’améliorer la qualité des réponses sur des problématiques complexes. Les utilisateurs découvrent comment demander à l’IA de décomposer un problème, explorer plusieurs scénarios ou confronter différents points de vue avant de conclure.",prompt_pack,transversal,fondation,essential,30,"[""Raisonnement"",""Chain of Thought"",""Analyse""]",,PDF,34b4574e-0667-42cf-b87b-ea504813812c/20260602115019_14-pp-prompts-chain-of-thought.pdf,14_PP_Prompts_Chain_of_Thought.pdf,application/pdf,1996857,,,1,published,2026-06-02 11:49:57.753312+00,2026-06-02 20:45:15.803963+00,2026-06-02 20:45:15.803963+00
42c2a99d-d965-498d-930c-a3697d05abfb,Créer son système IA de délégation autonome,cr-er-son-syst-me-ia-de-d-l-gation-autonome,Transformez une tâche récurrente en système IA capable de fonctionner presque sans intervention.,Workflow permettant de construire un assistant IA spécialisé sur une tâche métier répétitive.,"Cette méthode guide les utilisateurs dans la création de systèmes IA autonomes capables d’exécuter des tâches standardisées. Le workflow couvre l’identification de la tâche, la documentation du processus, la conception du prompt système et le déploiement dans un Custom GPT ou un projet Claude. Une approche idéale pour industrialiser les usages IA.",workflow,transversal,fondation,practitioner,240,"[""Automatisation"",""Custom GPT"",""Délégation""]",,PDF,42c2a99d-d965-498d-930c-a3697d05abfb/20260602131939_22-wf-delegation-ia-autonome.pdf,22_WF_Delegation_IA_Autonome.pdf,application/pdf,1992003,,,1,published,2026-06-02 13:19:17.123794+00,2026-06-02 20:48:18.00769+00,2026-06-02 20:48:18.00769+00
523cce94-1205-4298-9427-5b7062756f11,Compte-rendu de réunion avec l’IA,compte-rendu-de-r-union-avec-l-ia,Transformez vos notes brutes en compte-rendu structuré et partageable en seulement 10 minutes.,Une méthode simple pour convertir des notes de réunion désorganisées en compte-rendu professionnel grâce à l’IA.,"Ce workflow montre comment capturer les informations essentielles pendant une réunion puis les transformer en compte-rendu structuré avec l’IA. Il met l’accent sur les décisions, les actions et les points ouverts afin de produire un document immédiatement exploitable. Des conseils de vérification garantissent la fiabilité du résultat avant son partage.",workflow,transversal,fondation,discovery,10,"[""Réunion"",""Synthèse"",""Collaboration""]",,PDF,523cce94-1205-4298-9427-5b7062756f11/20260601213621_02-wf-compte-rendu-reunion.pdf,02_WF_Compte_Rendu_Reunion.pdf,application/pdf,1992350,,,1,published,2026-06-01 21:36:00.954525+00,2026-06-01 21:36:23.762031+00,2026-06-01 21:36:00.532826+00
549ba64f-d475-4270-9d8c-f13155c14000,Créer son Custom GPT en 7 étapes,cr-er-son-custom-gpt-en-7-tapes,Concevez et déployez votre premier assistant IA personnalisé de manière structurée.,Fiche mémo récapitulant les étapes clés de création et de déploiement d’un Custom GPT.,"Cette fiche synthétique présente les sept étapes essentielles pour concevoir un assistant IA personnalisé : choix du cas d’usage, documentation du processus, rédaction du system prompt, création, tests, optimisation et déploiement. Elle sert de guide de référence rapide pour tout projet de Custom GPT ou de Claude Project.",fiche_memo,transversal,fondation,practitioner,5,"[""Custom GPT"",""IA Générative"",""Automatisation""]",,PDF,549ba64f-d475-4270-9d8c-f13155c14000/20260602141954_30-fm-custom-gpt-7-etapes.pdf,30_FM_Custom_GPT_7_Etapes.pdf,application/pdf,1990010,,,1,published,2026-06-02 14:18:49.362159+00,2026-06-02 21:15:28.850951+00,2026-06-02 21:15:28.850951+00
